type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
ProfilePage,2020-11-18T10:41:47.000Z,izcOjNJW8gzvSQ3,売れ筋速報,宜しくお願いします。Amazonアソシエイト・プログラムの参加者です。,,1329011908347789314,1394,1589,19563
ProfilePage,2011-06-23T17:23:47.000Z,Olyduck,David Hedlind,Life passes too fast for only 140 characters at a time.,"Olympia,WA",322738109,57,247,3333
ProfilePage,2009-10-18T19:30:14.000Z,mchk_tw,みちこ🎏⚾️,野球 / サッカー / 音楽 / その他Web欄参照,藤原カンパニー,83426665,357,728,135328
ProfilePage,2021-08-27T05:07:50.000Z,ItsAppleMilk,🍎AppleMilk🥛,"She/they ,PNGtuber🕸 Very Human! Defiantly not an Alien Spider. 18+ minors respectfully shoo.
🕷Artist🕸 https://t.co/4eslayt0eP",A very human location,1431121211946377220,1254,640,3477
ProfilePage,2009-08-05T08:42:48.000Z,rayj0e,Raymond Joe,,,63076920,36,490,3189
ProfilePage,2015-04-17T00:50:22.000Z,STARL00T3R,STARLOOTER SAWADA H.,Just some guys on the internet don't worry about it.,United States,3174491463,7,133,364
ProfilePage,2022-08-07T16:30:10.000Z,SeanKaneGOND,Sean Kane,Co-host and co-creator of That's enough outta you Podcast,,1556316650215034880,381,1977,1147
ProfilePage,2020-02-22T16:32:25.000Z,suya_tatsuya,Tatsuya,Abstraindo,,1231255400428789760,72,118,881
